n;r;k;i;T_init;alfa;alfa_period;stop;#iter;init_time;init_score;time;best;slack
10;50.0;3;1;2.0;0.95;160.0;16000.0;10559;0.1032270826399326;28.09;1270.582538785413;28.09;0.0
10;50.0;3;2;2.0;0.95;160.0;16000.0;11955;0.070535316132009;31.05;1215.831406224519;26.48999999999992;0.0
10;50.0;3;3;2.0;0.95;160.0;16000.0;601;0.1104871910065412;33.31;71.37234934233129;24.27000000000002;0.0
10;50.0;4;0;2.0;0.95;160.0;16000.0;149;0.0905230203643441;30.7;13.842697254382074;30.7;0.0
10;50.0;4;1;2.0;0.95;160.0;16000.0;314;0.1214857045561075;31.099999999999994;29.43755607586354;28.46999999999999;0.0
10;50.0;4;2;2.0;0.95;160.0;16000.0;1555;0.1190134948119521;114.09293775379822;209.57472027186304;32.69999999999999;0.0
10;50.0;4;3;2.0;0.95;160.0;16000.0;89;0.1251936787739396;203.20090344062152;15.325565034523606;31.815999999999978;0.6459999999999866
15;50.0;2;0;3.0;0.95;240.0;24000.0;587;0.0722658112645149;89.63025411912862;141.56596367061138;45.43;0.0
15;50.0;2;1;3.0;0.95;240.0;24000.0;440;0.1126332469284534;37.38;94.7460831971839;36.13999999999999;0.0
15;50.0;2;2;3.0;0.95;240.0;24000.0;2;0.0721224974840879;147.25189758269724;0.2935004606842994;48.77000000000001;0.0
15;50.0;2;3;3.0;0.95;240.0;24000.0;880;0.1098405234515667;51.32999999999999;200.75414388254285;50.55999999999999;0.0
15;50.0;3;0;3.0;0.95;240.0;24000.0;7096;0.0548655660822987;50.79;942.2779486272484;40.94999999999997;0.0
15;50.0;3;1;3.0;0.95;240.0;24000.0;531;0.0690674055367708;50.0;63.17711691465229;45.98;0.0
15;50.0;3;2;3.0;0.95;240.0;24000.0;224;0.064495762810111;105.65155864259133;23.688413170166317;49.04;0.0
15;50.0;3;3;3.0;0.95;240.0;24000.0;307;0.0992795396596193;40.5;41.42724802158773;40.5;0.0
15;50.0;4;0;3.0;0.95;240.0;24000.0;106;0.0935938041657209;51.96;17.263841524720192;51.96;0.0
15;50.0;4;1;3.0;0.95;240.0;24000.0;573;0.1098373355343937;54.36;129.0543110705912;50.36;0.0
15;50.0;4;2;3.0;0.95;240.0;24000.0;10;0.0737237185239791;82.5666423098362;0.991067229770124;68.28402405991287;28.80402405991287
15;50.0;4;3;3.0;0.95;240.0;24000.0;272;0.0945273088291287;42.93000000000001;46.33028073329479;42.93000000000001;0.0
20;50.0;2;0;4.0;0.95;320.0;32000.0;35;0.145750761963427;195.24961125921365;13.42094111442566;62.79399999999991;1.133999999999915
20;50.0;2;1;4.0;0.95;320.0;32000.0;7;0.2208374310284853;319.4245287428931;2.711976269260049;318.18757352941145;259.7475735294115
20;50.0;2;2;4.0;0.95;320.0;32000.0;2582;0.1345686074346304;59.13000000000001;601.6279037762433;55.73999999999993;0.4799999999999116
20;50.0;2;3;4.0;0.95;320.0;32000.0;641;0.1380876041948795;278.033784808184;155.35044960305095;46.54000000000003;0.0
20;50.0;3;0;4.0;0.95;320.0;32000.0;591;0.0706990920007228;192.58750000000003;80.94962164759636;68.99000000000001;0.0
20;50.0;3;1;4.0;0.95;320.0;32000.0;25;0.0903857881203293;170.00060439541343;4.264878508634865;149.89794984821427;80.28794984821425
20;50.0;3;2;4.0;0.95;320.0;32000.0;747;0.0922807250171899;161.8129782784414;131.91797809116542;63.37;0.0
20;50.0;3;3;4.0;0.95;320.0;32000.0;46;0.0900254473090171;178.3457360000005;7.421734490431845;113.20850000000006;47.7085000000001
20;50.0;4;0;4.0;0.95;320.0;32000.0;17;0.0859530363231897;165.0393540173055;2.8352349372580647;146.6724012458581;77.76240124585811
