n;r;k;i;T_init;alfa;alfa_period;stop;#iter;init_time;init_score;time;best;slack
15;50.0;2;3;3.0;0.95;240.0;24000.0;8659;0.0613992400467395;51.32999999999999;486.360334311612;45.60999999999999;0.0
15;50.0;3;0;3.0;0.95;240.0;24000.0;21851;0.056842683814466;50.79;817.4378568101674;37.17999999999999;0.0
15;50.0;3;1;3.0;0.95;240.0;24000.0;8245;0.1040907483547926;50.0;969.8140965998172;42.92999999999999;0.0
15;50.0;3;2;3.0;0.95;240.0;24000.0;16162;0.1009512804448604;105.65155864259133;1671.454311049543;45.07999999999998;0.0
15;50.0;3;3;3.0;0.95;240.0;24000.0;17496;0.099555492401123;40.5;2317.226354356855;32.17000000000002;0.0
15;50.0;4;0;3.0;0.95;240.0;24000.0;19091;0.1016519097611308;51.96;1419.3440404552966;43.84000000000008;0.0
15;50.0;4;1;3.0;0.95;240.0;24000.0;16830;0.1073690475896;54.36;1909.917426334694;44.16999999999994;0.0
15;50.0;4;2;3.0;0.95;240.0;24000.0;22557;0.1166366189718246;82.5666423098362;2076.7587543483824;29.34000000000001;0.0
15;50.0;4;3;3.0;0.95;240.0;24000.0;14293;0.0924886269494891;42.93000000000001;1216.3008581046015;34.58000000000014;0.0
20;50.0;2;0;4.0;0.95;320.0;32000.0;21470;0.1388978809118271;195.24961125921365;3198.265318303369;52.46999999999995;0.0
20;50.0;2;1;4.0;0.95;320.0;32000.0;22606;0.1989953583106398;319.4245287428931;3191.6262035975237;49.03000000000007;0.0
20;50.0;2;2;4.0;0.95;320.0;32000.0;19250;0.0704332357272505;59.13000000000001;1373.577796133235;49.13999999999998;0.0
20;50.0;2;3;4.0;0.95;320.0;32000.0;17884;0.0737648131325841;278.033784808184;1332.5775294471532;44.69999999999993;0.0
20;50.0;3;0;4.0;0.95;320.0;32000.0;32000;0.0632288819178938;192.58750000000003;1726.7810251489282;65.32999999999986;0.0
20;50.0;3;1;4.0;0.95;320.0;32000.0;28511;0.1638712929561734;170.00060439541343;2661.882849429734;57.83000000000021;0.0
20;50.0;3;2;4.0;0.95;320.0;32000.0;24488;0.1767025226727128;161.8129782784414;2985.205983506516;53.54000000000009;0.0
20;50.0;3;3;4.0;0.95;320.0;32000.0;29269;0.1497313091531396;178.3457360000005;3246.1326263491064;62.51000000000014;0.0
20;50.0;4;0;4.0;0.95;320.0;32000.0;29001;0.0848082127049565;165.0393540173055;2542.6262028934434;62.0900000000002;0.0
20;50.0;4;1;4.0;0.95;320.0;32000.0;26758;0.1281767264008522;105.34978821980432;2794.8817719276994;45.85000000000011;0.0
20;50.0;4;2;4.0;0.95;320.0;32000.0;30016;0.1967604272067546;314.92529705061565;3813.3474411237994;53.68999999999998;0.0
20;50.0;4;3;4.0;0.95;320.0;32000.0;20170;0.1406630985438823;70.26721439462685;2615.4480400513858;58.47000000000005;0.0
30;50.0;2;0;6.0;0.95;480.0;48000.0;34118;0.245207984931767;201.1579261262718;9443.224524674935;83.25999999999982;0.0
30;50.0;2;1;6.0;0.95;480.0;48000.0;40866;0.1988564319908619;101.65501200000011;8515.094608027488;78.98999999999812;-1.9184653865522705e-12
30;50.0;2;2;6.0;0.95;480.0;48000.0;44019;0.1259215576574206;79.57;7840.547757822089;78.19999999999811;-1.9895196601282805e-12
30;50.0;2;3;6.0;0.95;480.0;48000.0;34470;0.1798252640292048;106.25183470043224;8913.614670291543;69.29000000000055;0.0
30;50.0;3;0;6.0;0.95;480.0;48000.0;48000;0.1561982724815607;360.08374911785427;6833.453327556141;83.54999999999991;0.0
30;50.0;3;1;6.0;0.95;480.0;48000.0;39019;0.2104894425719976;100.74999999999996;9203.74399685394;85.19999999999985;-7.105427357601003e-14
30;50.0;3;2;6.0;0.95;480.0;48000.0;36343;0.2104818178340792;91.16;9654.89086732734;77.64000000000013;0.0
30;50.0;3;3;6.0;0.95;480.0;48000.0;33761;0.1616587806493044;96.37201771689892;8082.870700705796;85.25000000000041;0.0
30;50.0;4;0;6.0;0.95;480.0;48000.0;48000;0.1230596378445625;94.59;8152.167611105367;75.33999999999979;0.0
30;50.0;4;1;6.0;0.95;480.0;48000.0;48000;0.1931593203917145;92.29;14057.767067061735;76.30000000000028;0.0
30;50.0;4;2;6.0;0.95;480.0;48000.0;48000;0.2545148432254791;143.8076733515672;7972.447208194062;83.54000000000079;0.0
30;50.0;4;3;6.0;0.95;480.0;48000.0;45425;0.2390803759917616;83.83000000000001;11481.817500469277;73.18000000000048;0.0
50;50.0;2;0;10.0;0.95;800.0;80000.0;80000;0.3897741781547665;382.9974212769757;39614.3729170803;131.76;0.0
50;50.0;2;1;10.0;0.95;800.0;80000.0;72269;0.3715048274025321;255.2423417033248;35312.87373931147;120.81999999999962;0.0
50;50.0;2;2;10.0;0.95;800.0;80000.0;74399;0.2592123532667756;2634.186802367355;34989.71400419716;122.7299999999999;0.0
50;50.0;2;3;10.0;0.95;800.0;80000.0;66463;0.3570207646116614;180.48636587259315;34824.875777785666;128.01999999999305;-6.252776074688882e-12
50;50.0;3;0;10.0;0.95;800.0;80000.0;80000;0.2397795477882027;677.5689275550384;31956.33563914243;134.60000000000102;0.0
50;50.0;3;1;10.0;0.95;800.0;80000.0;76876;0.2805554028600454;161.94000000000003;37477.14529021457;145.86999999999836;-5.684341886080801e-13
50;50.0;3;2;10.0;0.95;800.0;80000.0;80000;0.3688920717686414;661.5599900000053;34576.78878630884;139.50999999999678;0.0
50;50.0;3;3;10.0;0.95;800.0;80000.0;80000;0.3500995198264718;247.66360602900733;26084.72323581204;152.89999999999998;0.0
50;50.0;4;0;10.0;0.95;800.0;80000.0;78182;0.3677117368206382;501.2132743397178;41332.599096886814;133.08999999999904;0.0
50;50.0;4;1;10.0;0.95;800.0;80000.0;80000;0.4073115093633532;292.39573375198063;27681.977139715105;121.89000000000068;0.0
50;50.0;4;2;10.0;0.95;800.0;80000.0;80000;0.310728277079761;236.2331974066424;39418.3279709788;138.18000000000205;0.0
50;50.0;4;3;10.0;0.95;800.0;80000.0;80000;0.3465669099241495;362.4865082732285;38166.363387302496;125.2200000000004;0.0
